INDEX,OFNS_DESC,Latitude,Longitude,CMPLNT_FR_TM
5490220,MURDER & NON-NEGL. MANSLAUGHTER,40.880398548,-73.863853651,22:07:00
5490271,MURDER & NON-NEGL. MANSLAUGHTER,40.64480152,-74.005269715,20:23:00
5491754,MURDER & NON-NEGL. MANSLAUGHTER,40.586104414,-74.162630773,12:20:00
5492675,MURDER & NON-NEGL. MANSLAUGHTER,40.6928309,-73.758149574,20:45:00
5494010,MURDER & NON-NEGL. MANSLAUGHTER,40.671657217,-73.958198788,23:30:00
5494836,MURDER & NON-NEGL. MANSLAUGHTER,40.590091841,-74.094684252,02:06:00
5495495,MURDER & NON-NEGL. MANSLAUGHTER,40.851111636,-73.935255912,21:57:00
5496250,MURDER & NON-NEGL. MANSLAUGHTER,40.860928316,-73.920308429,04:20:00
5499685,MURDER & NON-NEGL. MANSLAUGHTER,40.699693597,-73.766488035,19:20:00
5499885,MURDER & NON-NEGL. MANSLAUGHTER,40.768940729,-73.911443572,14:55:00
5501450,MURDER & NON-NEGL. MANSLAUGHTER,40.745222604,-73.91045017,01:45:00
5502521,MURDER & NON-NEGL. MANSLAUGHTER,40.820979933,-73.849642388,06:01:00
5502652,MURDER & NON-NEGL. MANSLAUGHTER,40.600205912,-74.121501323,00:13:00
5505911,MURDER & NON-NEGL. MANSLAUGHTER,40.853587401,-73.900591356,20:00:00
5512103,MURDER & NON-NEGL. MANSLAUGHTER,40.667629873,-73.896254478,17:10:00
5515811,MURDER & NON-NEGL. MANSLAUGHTER,40.810328321,-73.91476613,16:20:00
5516902,MURDER & NON-NEGL. MANSLAUGHTER,40.608883423,-74.083157189,22:03:00
5521978,MURDER & NON-NEGL. MANSLAUGHTER,40.636744136,-74.134282972,15:00:00
5523092,MURDER & NON-NEGL. MANSLAUGHTER,40.685077953,-73.927993087,19:20:00
5524106,MURDER & NON-NEGL. MANSLAUGHTER,40.637483796,-74.00749944,21:20:00
5524193,MURDER & NON-NEGL. MANSLAUGHTER,40.65149337,-73.924533616,18:50:00
5526049,MURDER & NON-NEGL. MANSLAUGHTER,40.642006612,-73.9017029,17:45:00
5526474,MURDER & NON-NEGL. MANSLAUGHTER,40.817503461,-73.941975939,03:00:00
5528206,MURDER & NON-NEGL. MANSLAUGHTER,40.662692805,-73.88830716,21:39:00
5529260,MURDER & NON-NEGL. MANSLAUGHTER,40.608391809,-74.14661153,08:54:00
5529781,MURDER & NON-NEGL. MANSLAUGHTER,40.608391809,-74.14661153,08:54:00
5530009,MURDER & NON-NEGL. MANSLAUGHTER,40.608391809,-74.14661153,08:54:00
5532624,MURDER & NON-NEGL. MANSLAUGHTER,40.853064489,-73.868944957,02:21:00
5535538,MURDER & NON-NEGL. MANSLAUGHTER,40.750331537,-73.792130675,21:35:00
5535618,MURDER & NON-NEGL. MANSLAUGHTER,40.827668623,-73.925435892,19:15:00
